USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
macintosh        24924   7.2 12.0 416241664 1009136   ??  S     6:50PM   4:44.69 /Users/macintosh/Library/Application Support/JetBrains/Toolbox/apps/PyCharm-P/ch-0/223.8617.48/PyCharm.app/Contents/MacOS/pycharm
_windowserver      142   5.5  1.1 412213904  92336   ??  Ss   14Jan23 3040:02.72 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
_usbmuxd           114   1.4  0.0 408496704   4112   ??  Ss   14Jan23  27:17.11 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
_mdnsresponder     206   0.9  0.1 408666032   5984   ??  Ss   14Jan23  13:40.00 /usr/sbin/mDNSResponder
macintosh        21463   0.9  1.0 482135280  84288   ??  S    21Feb23 151:57.19 /Applications/Discord.app/Contents/Frameworks/Discord Helper (Renderer).app/Contents/MacOS/Discord Helper (Renderer) --type=renderer --autoplay-policy=no-user-gesture-required --field-trial-handle=1718379636,15663807928759018848,12481679402749979734,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,HardwareMediaKeyHandling,MediaSessionService,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand,WindowCaptureMacV2 --lang=en-US --app-path=/Applications/Discord.app/Contents/Resources/app.asar --no-sandbox --no-zygote --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=5 --no-v8-untrusted-code-mitigations --shared-files --enable-node-leakage-in-renderers
_coreaudiod      97408   0.8  0.2 408950592  18912   ??  Ss   13Feb23 141:15.32 /usr/sbin/coreaudiod
_driverkit       24786   0.7  0.0 408510096   2032   ??  Ss    6:43PM   0:09.84 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserUSBHostHIDDeviceKB 0x100035bdb
macintosh          417   0.7  0.1 408945472   9920   ??  S    14Jan23   4:20.75 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
macintosh        76956   0.5  0.8 410440912  66880   ??  S    Tue07PM  24:33.15 /System/Applications/Music.app/Contents/MacOS/Music
root               112   0.4  0.1 408408848   8688   ??  Ss   14Jan23  31:40.06 /System/Library/CoreServices/launchservicesd
macintosh          547   0.4  0.1 409238688   8848   ??  S    14Jan23  14:13.69 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
macintosh        22775   0.3  0.1 408234976   4208   ??  S     4:37PM   0:01.69 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
_driverkit       24788   0.3  0.0 408513712   2048   ??  Ss    6:43PM   0:04.54 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDEventDriver 0x100035be9
root               368   0.2  0.0 408530352   4112   ??  Ss   14Jan23  36:51.66 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
macintosh         7704   0.1  2.4 442955824 202320   ??  S    Sat01PM 109:51.16 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome --restart --restart
_networkd          229   0.1  0.1 408665344   7616   ??  Ss   14Jan23  29:00.37 /usr/libexec/symptomsd
root               136   0.1  0.1 408661984   5424   ??  Ss   14Jan23  48:53.79 /usr/libexec/corebrightnessd --launchd
macintosh          637   0.1  0.2 409494496  18256   ??  Ss   14Jan23   5:21.62 /System/Library/CoreServices/Siri.app/Contents/XPCServices/SiriNCService.xpc/Contents/MacOS/SiriNCService
macintosh         7733   0.1  0.6 442078624  52736   ??  S    Sat01PM  21:18.67 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/110.0.5481.177/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=ru --service-sandbox-type=network --shared-files --field-trial-handle=1718379636,r,8153092111629072808,16454596753714565702,131072 --seatbelt-client=31
macintosh        13510   0.1  0.3 411174864  28480   ??  S    26Jan23 511:45.96 /Applications/Xcode.app/Contents/MacOS/Xcode
root             25293   0.0  0.0 408320544    704   ??  Ss    6:58PM   0:00.10 aslmanager
root             25289   0.0  0.1 408624336   4912   ??  Ss    6:58PM   0:01.63 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/CAReportingService.xpc/Contents/MacOS/CAReportingService
macintosh        25272   0.0  0.1 408623360   6928   ??  S     6:57PM   0:00.12 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
macintosh        25178   0.0  0.1 408492032   9792   ??  S     6:56PM   0:00.14 /usr/libexec/fmfd
macintosh        25176   0.0  0.1 408189248   4288   ??  S     6:56PM   0:00.02 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
_fpsd            25174   0.0  0.0 408330368   2752   ??  Ss    6:56PM   0:00.03 /System/Library/PrivateFrameworks/CoreADI.framework/adid
macintosh        25173   0.0  0.2 408630176  13376   ??  S     6:56PM   0:00.24 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
root             25130   0.0  0.0 408050176   1152   ??  Ss    6:54PM   0:00.01 /usr/libexec/smd
macintosh        25129   0.0  0.3 408752512  25008   ??  S     6:54PM   0:00.06 /Users/macintosh/Library/Application Support/JetBrains/Toolbox/apps/PyCharm-P/ch-0/223.8617.48/PyCharm.app/Contents/jbr/Contents/Frameworks/jcef Helper.app/Contents/MacOS/jcef Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=network --no-sandbox --use-mock-keychain --framework-dir-path=/Users/macintosh/Library/Application Support/JetBrains/Toolbox/apps/PyCharm-P/ch-0/223.8617.48/PyCharm.app/Contents/jbr/Contents/Frameworks/Chromium Embedded Framework.framework --main-bundle-path=/Users/macintosh/Library/Application Support/JetBrains/Toolbox/apps/PyCharm-P/ch-0/223.8617.48/PyCharm.app/Contents/jbr/Contents/Frameworks/jcef Helper.app --log-severity=disable --lang=en-US --user-data-dir=/Users/macintosh/Library/Application Support/CEF/User Data --disable-in-process-stack-traces --log-file=/Users/macintosh/jcef_24924.log --shared-files --field-trial-handle=1718379636,r,1059970228401107225,1975706986163098658,131072 --disable-features=SpareRendererForSitePerProcess
root             25128   0.0  0.0 408050640   1184   ??  Ss    6:54PM   0:00.01 /usr/libexec/misagent
macintosh        25126   0.0  0.1 408644784   6032   ??  Ss    6:54PM   0:00.06 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
macintosh        25122   0.0  0.3 408798640  25936   ??  S     6:54PM   0:01.38 /Users/macintosh/Library/Application Support/JetBrains/Toolbox/apps/PyCharm-P/ch-0/223.8617.48/PyCharm.app/Contents/jbr/Contents/Frameworks/jcef Helper (GPU).app/Contents/MacOS/jcef Helper (GPU) --type=gpu-process --no-sandbox --framework-dir-path=/Users/macintosh/Library/Application Support/JetBrains/Toolbox/apps/PyCharm-P/ch-0/223.8617.48/PyCharm.app/Contents/jbr/Contents/Frameworks/Chromium Embedded Framework.framework --main-bundle-path=/Users/macintosh/Library/Application Support/JetBrains/Toolbox/apps/PyCharm-P/ch-0/223.8617.48/PyCharm.app/Contents/jbr/Contents/Frameworks/jcef Helper.app --log-severity=disable --lang=en-US --user-data-dir=/Users/macintosh/Library/Application Support/CEF/User Data --gpu-preferences=UAAAAAAAAAAgAAAIAAAAAAAAAAAAAAAAAABgAAAAAAAwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJgEAAAAAAAAmAQAAAAAAACIAQAAMAAAAIABAAAAAAAAiAEAAAAAAACQAQAAAAAAAJgBAAAAAAAAoAEAAAAAAACoAQAAAAAAALABAAAAAAAAuAEAAAAAAADAAQAAAAAAAMgBAAAAAAAA0AEAAAAAAADYAQAAAAAAAOABAAAAAAAA6AEAAAAAAADwAQAAAAAAAPgBAAAAAAAAAAIAAAAAAAAIAgAAAAAAABACAAAAAAAAGAIAAAAAAAAgAgAAAAAAACgCAAAAAAAAMAIAAAAAAAA4AgAAAAAAAEACAAAAAAAASAIAAAAAAABQAgAAAAAAAFgCAAAAAAAAYAIAAAAAAABoAgAAAAAAAHACAAAAAAAAeAIAAAAAAACAAgAAAAAAAIgCAAAAAAAAkAIAAAAAAACYAgAAAAAAAKACAAAAAAAAqAIAAAAAAACwAgAAAAAAALgCAAAAAAAAwAIAAAAAAADIAgAAAAAAANACAAAAAAAA2AIAAAAAAADgAgAAAAAAAOgCAAAAAAAA8AIAAAAAAAD4AgAAAAAAABAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAHAAAAEAAAAAAAAAAAAAAACAAAABAAAAAAAAAAAAAAAAkAAAAQAAAAAAAAAAAAAAALAAAAEAAAAAAAAAAAAAAADAAAABAAAAAAAAAAAAAAAA4AAAAQAAAAAAAAAAAAAAAPAAAAEAAAAAAAAAABAAAAAAAAABAAAAAAAAAAAQAAAAcAAAAQAAAAAAAAAAEAAAAIAAAAEAAAAAAAAAABAAAACQAAABAAAAAAAAAAAQAAAAsAAAAQAAAAAAAAAAEAAAAMAAAAEAAAAAAAAAABAAAADgAAABAAAAAAAAAAAQAAAA8AAAAQAAAAAAAAAAQAAAAAAAAAEAAAAAAAAAAEAAAABwAAABAAAAAAAAAABAAAAAgAAAAQAAAAAAAAAAQAAAAJAAAAEAAAAAAAAAAEAAAACwAAABAAAAAAAAAABAAAAAwAAAAQAAAAAAAAAAQAAAAOAAAAEAAAAAAAAAAEAAAADwAAABAAAAAAAAAABwAAAAAAAAAQAAAAAAAAAAcAAAAHAAAAEAAAAAAAAAAHAAAACAAAABAAAAAAAAAABwAAAAkAAAAQAAAAAAAAAAcAAAALAAAAEAAAAAAAAAAHAAAADAAAABAAAAAAAAAABwAAAA4AAAAQAAAAAAAAAAcAAAAPAAAAEAAAAAAAAAAIAAAAAAAAABAAAAAAAAAACAAAAAcAAAAQAAAAAAAAAAgAAAAIAAAAEAAAAAAAAAAIAAAACQAAABAAAAAAAAAACAAAAAsAAAAQAAAAAAAAAAgAAAAMAAAAEAAAAAAAAAAIAAAADgAAABAAAAAAAAAACAAAAA8AAAAQAAAAAAAAAAoAAAAAAAAAEAAAAAAAAAAKAAAABwAAABAAAAAAAAAACgAAAAgAAAAQAAAAAAAAAAoAAAAJAAAAEAAAAAAAAAAKAAAACwAAABAAAAAAAAAACgAAAAwAAAAQAAAAAAAAAAoAAAAOAAAAEAAAAAAAAAAKAAAADwAAAAgAAAAAAAAACAAAAAAAAAA= --disable-in-process-stack-traces --log-file=/Users/macintosh/jcef_24924.log --shared-files --field-trial-handle=1718379636,r,1059970228401107225,1975706986163098658,131072 --disable-features=SpareRendererForSitePerProcess
macintosh        25018   0.0  0.1 408537120   6496   ??  Ss    6:52PM   0:03.92 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
macintosh        25015   0.0  0.1 408485344   8112   ??  S     6:52PM   0:00.06 /usr/libexec/swcd
macintosh        25014   0.0  1.5 1595892976 122016   ??  S     6:52PM   0:14.33 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/110.0.5481.177/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --lang=ru --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=3693 --time-ticks-at-unix-epoch=-1675547111065996 --launch-time-ticks=2179238956667 --shared-files --field-trial-handle=1718379636,r,8153092111629072808,16454596753714565702,131072 --seatbelt-client=190
root             25011   0.0  0.1 408230288   6240   ??  Ss    6:52PM   0:00.07 /usr/sbin/WirelessRadioManagerd
macintosh        25004   0.0  0.1 408499744   8048   ??  S     6:52PM   0:00.13 /System/Library/PrivateFrameworks/AMPLibrary.framework/Versions/A/Support/AMPArtworkAgent --launchd
macintosh        24995   0.0  0.4 409127296  34192   ??  S     6:51PM   0:00.24 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
macintosh        24993   0.0  0.4 409584160  36800   ??  Ss    6:51PM   0:00.57 /System/Library/CoreServices/ClimateProxy.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget
macintosh        24990   0.0  0.0 408169216   2640 s001  Ss    6:51PM   0:00.10 /bin/zsh --login -i
root             24984   0.0  0.0 408197744   2304   ??  Ss    6:51PM   0:00.02 /usr/libexec/keybagd -t 15
macintosh        24980   0.0  0.0 408135568   2896   ??  S     6:51PM   0:00.03 /System/Library/CoreServices/pbs
macintosh        24979   0.0  0.1 408525776   8640   ??  S     6:51PM   0:00.14 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
root             24978   0.0  0.0 408491680   3536   ??  Ss    6:51PM   0:00.07 /usr/libexec/mobileactivationd
root             24977   0.0  0.1 408371424   9248   ??  Ss    6:51PM   0:00.13 /usr/libexec/findmydeviced
macintosh        24941   0.0  1.4 1596058864 120720   ??  S     6:50PM   0:54.81 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/110.0.5481.177/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --lang=ru --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=3692 --time-ticks-at-unix-epoch=-1675547111065996 --launch-time-ticks=2179132005819 --shared-files --field-trial-handle=1718379636,r,8153092111629072808,16454596753714565702,131072 --seatbelt-client=190
macintosh        24934   0.0  0.1 408736464  11888   ??  Ss    6:50PM   0:00.07 /System/Library/Frameworks/Quartz.framework/Versions/A/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
