14:00:41, ERROR, Invalid number
14:00:42, ERROR, Invalid number
14:00:42, ERROR, Invalid number
14:00:42, ERROR, Invalid number
14:00:42, ERROR, Invalid number
14:00:43, ERROR, Invalid number
14:00:43, ERROR, Invalid number
14:00:44, ERROR, Invalid number
14:00:47, ERROR, Invalid number
14:00:47, ERROR, Invalid number
14:00:47, ERROR, Invalid number
14:00:47, ERROR, Invalid number
14:00:48, ERROR, Invalid number
14:00:51, ERROR, Invalid index operation
14:00:52, ERROR, Invalid index operation
14:00:53, ERROR, Invalid number
14:00:54, ERROR, Invalid index operation
14:01:33, ERROR, Invalid number
14:01:34, ERROR, Invalid number
14:01:34, ERROR, Invalid number
14:01:34, ERROR, Invalid number
14:01:34, ERROR, Invalid number
14:01:35, ERROR, Invalid number
14:01:35, ERROR, Invalid number
14:01:47, ERROR, Invalid number
14:01:48, ERROR, Invalid number
14:01:48, ERROR, Invalid number
14:01:48, ERROR, Invalid number
14:01:49, ERROR, Invalid number
14:01:49, ERROR, Invalid number
